ÓBIDOS	-55.513	-1.919
    24     4  1985      552.000000
    25     4  1985      552.000000
    26     4  1985      553.000000
    27     4  1985      557.000000
    28     4  1985      555.000000
    29     4  1985      556.000000
    30     4  1985      555.000000
     1     5  1985      557.000000
     2     5  1985      558.000000
     3     5  1985      559.000000
     4     5  1985      569.000000
     5     5  1985      569.000000
     6     5  1985      574.000000
     7     5  1985      578.000000
     8     5  1985      582.000000
     9     5  1985      584.000000
    10     5  1985      588.000000
    11     5  1985      591.000000
    12     5  1985      595.000000
    13     5  1985      596.000000
    14     5  1985      597.000000
    15     5  1985      599.000000
    16     5  1985      600.000000
    17     5  1985      601.000000
    18     5  1985      604.000000
    19     5  1985      606.000000
    20     5  1985      609.000000
    21     5  1985      612.000000
    22     5  1985      614.000000
    23     5  1985      617.000000
    24     5  1985      619.000000
    25     5  1985      620.000000
    26     5  1985      618.000000
    27     5  1985      620.000000
    28     5  1985      618.000000
    29     5  1985      618.000000
    30     5  1985      618.000000
    31     5  1985      619.000000
     1     6  1985      620.000000
     2     6  1985      619.000000
     3     6  1985      620.000000
     4     6  1985      619.000000
     5     6  1985      618.000000
     6     6  1985      618.000000
     7     6  1985      620.000000
     8     6  1985      620.000000
     9     6  1985      620.000000
    10     6  1985      620.000000
    11     6  1985      617.000000
    12     6  1985      614.000000
    13     6  1985      614.000000
    14     6  1985      611.000000
    15     6  1985      612.000000
    16     6  1985      612.000000
    17     6  1985      610.000000
    18     6  1985      611.000000
    19     6  1985      612.000000
    20     6  1985      612.000000
    21     6  1985      611.000000
    22     6  1985      613.000000
    23     6  1985      612.000000
    24     6  1985      612.000000
    25     6  1985      612.000000
    26     6  1985      611.000000
    27     6  1985      609.000000
    28     6  1985      608.000000
    29     6  1985      608.000000
    30     6  1985      606.000000
     1     7  1985      605.000000
     2     7  1985      605.000000
     3     7  1985      605.000000
     4     7  1985      604.000000
     5     7  1985      603.000000
     6     7  1985      602.000000
     7     7  1985      602.000000
     8     7  1985      600.000000
     9     7  1985      596.000000
    10     7  1985      594.000000
    11     7  1985      591.000000
    12     7  1985      587.000000
    13     7  1985      585.000000
    14     7  1985      584.000000
    15     7  1985      583.000000
    16     7  1985      580.000000
    17     7  1985      578.000000
    18     7  1985      576.000000
    19     7  1985      575.000000
    20     7  1985      574.000000
    21     7  1985      572.000000
    22     7  1985      569.000000
    23     7  1985      567.000000
    24     7  1985      565.000000
    25     7  1985      564.000000
    26     7  1985      563.000000
    27     7  1985      560.000000
    28     7  1985      558.000000
    29     7  1985      556.000000
    30     7  1985      552.000000
    31     7  1985      551.000000
     1     8  1985      550.000000
     2     8  1985      548.000000
     3     8  1985      545.000000
     4     8  1985      541.000000
     5     8  1985      537.000000
     6     8  1985      534.000000
     7     8  1985      529.000000
     8     8  1985      525.000000
     9     8  1985      521.000000
    10     8  1985      517.000000
    11     8  1985      513.000000
    12     8  1985      510.000000
    13     8  1985      507.000000
    14     8  1985      503.000000
    15     8  1985      502.000000
    16     8  1985      500.000000
    17     8  1985      500.000000
    18     8  1985      500.000000
    19     8  1985      500.000000
    20     8  1985      500.000000
    21     8  1985      498.000000
    22     8  1985      496.000000
    23     8  1985      492.000000
    24     8  1985      486.000000
    25     8  1985      483.000000
    26     8  1985      479.000000
    27     8  1985      475.000000
    28     8  1985      471.000000
